Date,Product ID,Product Name,Quantity,Unit Price ($),Total Price ($),Comments
"14/09/2025, 1:38:41 pm",P1016,Tab. Amlodipine,2200,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1003,Tab. Antacid,1828,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1019,Tab. Aspirin,1000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1027,Tab. Atenolol,2100,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1004,Tab. B/C,3360,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1006,Tab. Calcium,4330,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1064,Tab. Calcium 500mg,1450,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1024,Tab. Cetirizine,890,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1025,Tab. Ciprocin,1340,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1013,Tab. Cotrim,2210,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1014,Tab. Diclofen,180,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1015,Tab. Domperidon,750,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1007,Tab. F/S,25000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1002,Tab. Histacin,5150,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1017,Tab. Losartan Potassium,900,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1005,Tab. Metro 400mg,4000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1028,Tab. Montelukast,540,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1021,Tab. Pantoprazole,1000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1001,Tab. Paracetamol,4294,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1010,Tab. Salbutamol,590,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1012,Tab. Tiemonium Methylsulphate,1382,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1035,Cap. Amoxicillin 250mg,800,0,0,Initial stock at 14/09/2025
"14/09/2025, 6:00:00 am",P1036,Cap. Amoxicillin 500mg,10,0,0,
"14/09/2025, 1:38:41 pm",P1034,Cap. Doxycycline,1000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1033,Cap. Tetracycline,1000,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1043,Syp. Amoxicillin,38,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1041,Syp. Histacin,79,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1045,Syp. Metro,33,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1040,Syp. Paracetamol,250,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1042,Syp. Salbutamol,48,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1047,Syp. Zinc,61,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1048,BBL,23,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:38:41 pm",P1061,E/D. Chloramphenicol,74,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:50:23 pm",P1065,Tab. Barbit,320,0,0,Initial stock at 14/09/2025
"14/09/2025, 1:50:23 pm",P1068,Syp. Kitotifen,40,0,0,Initial stock at 14/09/2025
"14/09/2025, 6:00:00 am",P1049,Crm. Perosa,4,0,0,
"28/09/2025, 6:00:00 am",P1060,CBA,1,0,0,
"28/09/2025, 6:00:00 am",P1003,Tab. Antacid,3000,0,0,
"28/09/2025, 6:00:00 am",P1065,Tab. Barbit,500,0,0,
"28/09/2025, 6:00:00 am",P1006,Tab. Calcium,4000,0,0,
"28/09/2025, 6:00:00 am",P1064,Tab. Calcium 500mg,2000,0,0,
"28/09/2025, 6:00:00 am",P1024,Tab. Cetirizine,500,0,0,
"28/09/2025, 6:00:00 am",P1013,Tab. Cotrim,5000,0,0,
"28/09/2025, 6:00:00 am",P1002,Tab. Histacin,5000,0,0,
"28/09/2025, 6:00:00 am",P1017,Tab. Losartan Potassium,750,0,0,
"28/09/2025, 6:00:00 am",P1001,Tab. Paracetamol,3500,0,0,
"28/09/2025, 6:00:00 am",P1035,Cap. Amoxicillin 250mg,500,0,0,
"28/09/2025, 6:00:00 am",P1034,Cap. Doxycycline,1000,0,0,
"28/09/2025, 6:00:00 am",P1037,Cap. Omeprazole 20mg,1500,0,0,
"28/09/2025, 6:00:00 am",P1043,Syp. Amoxicillin,48,0,0,
"28/09/2025, 6:00:00 am",P1041,Syp. Histacin,60,0,0,
"28/09/2025, 6:00:00 am",P1040,Syp. Paracetamol,100,0,0,
"28/09/2025, 6:00:00 am",P1048,BBL,30,0,0,
"28/09/2025, 6:00:00 am",P1061,E/D. Chloramphenicol,100,0,0,
"7/10/2025, 6:00:00 AM",P1001,Tab. Paracetamol,2000,0,0,
"12/10/2025, 6:00:00 AM",P1004,Tab. B/C,1000,0,0,
"12/10/2025, 6:00:00 AM",P1001,Tab. Paracetamol,4000,0,0,
"12/10/2025, 6:00:00 AM",P1032,Cap. Indomet,500,0,0,
"12/10/2025, 6:00:00 AM",P1044,Syp. Cotrim,30,0,0,
"12/10/2025, 6:00:00 AM",P1041,Syp. Histacin,30,0,0,
"12/10/2025, 6:00:00 AM",P1040,Syp. Paracetamol,100,0,0,
"12/10/2025, 6:00:00 AM",P1042,Syp. Salbutamol,30,0,0,
"12/10/2025, 6:00:00 AM",P1060,CBA,1,0,0,
"27/10/2025, 6:00:00 am",P1003,Tab. Antacid,2000,0,0,
"27/10/2025, 6:00:00 am",P1004,Tab. B/C,2000,0,0,
"27/10/2025, 6:00:00 am",P1006,Tab. Calcium,2000,0,0,
"27/10/2025, 6:00:00 am",P1064,Tab. Calcium 500mg,1000,0,0,
"27/10/2025, 6:00:00 am",P1002,Tab. Histacin,4000,0,0,
"27/10/2025, 6:00:00 am",P1069,Tab. Levofloxacin,100,0,0,
"27/10/2025, 6:00:00 am",P1001,Tab. Paracetamol,3000,0,0,
"27/10/2025, 6:00:00 am",P1070,Cap. Cephradin,300,0,0,
"27/10/2025, 6:00:00 am",P1034,Cap. Doxycycline,1000,0,0,
"27/10/2025, 6:00:00 am",P1032,Cap. Indomet,1000,0,0,
"27/10/2025, 6:00:00 am",P1041,Syp. Histacin,60,0,0,
"27/10/2025, 6:00:00 am",P1040,Syp. Paracetamol,100,0,0,
"27/10/2025, 6:00:00 am",P1042,Syp. Salbutamol,60,0,0,
"05/11/2025, 6:00:00 AM",P1072,Tab. Aceclofenac,500,0,0,
"05/11/2025, 6:00:00 AM",P1016,Tab. Amlodipine,500,0,0,
"05/11/2025, 6:00:00 AM",P1003,Tab. Antacid,3000,0,0,
"05/11/2025, 6:00:00 AM",P1019,Tab. Aspirin,400,0,0,
"05/11/2025, 6:00:00 AM",P1004,Tab. B/C,1000,0,0,
"05/11/2025, 6:00:00 AM",P1065,Tab. Barbit,300,0,0,
"05/11/2025, 6:00:00 AM",P1006,Tab. Calcium,3000,0,0,
"05/11/2025, 6:00:00 AM",P1064,Tab. Calcium 500mg,1000,0,0,
"05/11/2025, 6:00:00 AM",P1024,Tab. Cetirizine,500,0,0,
"05/11/2025, 6:00:00 AM",P1025,Tab. Ciprocin,500,0,0,
"05/11/2025, 6:00:00 AM",P1013,Tab. Cotrim,1000,0,0,
"05/11/2025, 6:00:00 AM",P1015,Tab. Domperidon,500,0,0,
"05/11/2025, 6:00:00 AM",P1002,Tab. Histacin,5000,0,0,
"05/11/2025, 6:00:00 AM",P1017,Tab. Losartan Potassium,500,0,0,
"05/11/2025, 6:00:00 AM",P1005,Tab. Metro 400mg,2000,0,0,
"05/11/2025, 6:00:00 AM",P1001,Tab. Paracetamol,3500,0,0,
"05/11/2025, 6:00:00 AM",P1012,Tab. Tiemonium Methylsulphate,500,0,0,
"05/11/2025, 6:00:00 AM",P1035,Cap. Amoxicillin 250mg,500,0,0,
"05/11/2025, 6:00:00 AM",P1034,Cap. Doxycycline,500,0,0,
"05/11/2025, 6:00:00 AM",P1032,Cap. Indomet,500,0,0,
"05/11/2025, 6:00:00 AM",P1037,Cap. Omeprazole 20mg,1000,0,0,
"05/11/2025, 6:00:00 AM",P1033,Cap. Tetracycline,500,0,0,
"05/11/2025, 6:00:00 AM",P1044,Syp. Cotrim,30,0,0,
"05/11/2025, 6:00:00 AM",P1041,Syp. Histacin,60,0,0,
"05/11/2025, 6:00:00 AM",P1040,Syp. Paracetamol,250,0,0,
"05/11/2025, 6:00:00 AM",P1042,Syp. Salbutamol,90,0,0,
"05/11/2025, 6:00:00 AM",P1068,Syp. Kitotifen,50,0,0,
"05/11/2025, 6:00:00 AM",P1048,BBL,30,0,0,
"05/11/2025, 6:00:00 AM",P1071,E/D. Ciprocin,50,0,0,
"08/11/2025, 6:00:00 AM",P1072,Tab. Aceclofenac,1000,0,0,
"08/11/2025, 6:00:00 AM",P1029,Tab. Doxophylline,1000,0,0,
"08/11/2025, 6:00:00 AM",P1028,Tab. Montelukast,400,0,0,
"08/11/2025, 6:00:00 AM",P1060,CBA,1,0,0,
"22/11/2025, 6:00:00 am",P1003,Tab. Antacid,500,0,0,
"22/11/2025, 6:00:00 am",P1006,Tab. Calcium 300mg,500,0,0,
"22/11/2025, 6:00:00 am",P1002,Tab. Histacin,1000,0,0,
"22/11/2025, 6:00:00 am",P1001,Tab. Paracetamol,1000,0,0,
"22/11/2025, 6:00:00 am",P1041,Syp. Histacin,30,0,0,
"22/11/2025, 6:00:00 am",P1042,Syp. Salbutamol,30,0,0,
"01/12/2025, 6:00:00 AM",P1072,Tab. Aceclofenac,600,0,0,
"01/12/2025, 6:00:00 AM",P1016,Tab. Amlodipine,500,0,0,
"01/12/2025, 6:00:00 AM",P1003,Tab. Antacid,3000,0,0,
"01/12/2025, 6:00:00 AM",P1004,Tab. B/C,1000,0,0,
"01/12/2025, 6:00:00 AM",P1065,Tab. Barbit,100,0,0,
"01/12/2025, 6:00:00 AM",P1006,Tab. Calcium 300mg,3000,0,0,
"01/12/2025, 6:00:00 AM",P1064,Tab. Calcium 500mg,1000,0,0,
"01/12/2025, 6:00:00 AM",P1024,Tab. Cetirizine,500,0,0,
"01/12/2025, 6:00:00 AM",P1013,Tab. Cotrim,2000,0,0,
"01/12/2025, 6:00:00 AM",P1015,Tab. Domperidon,500,0,0,
"01/12/2025, 6:00:00 AM",P1066,Tab. Esomeprazole,780,0,0,
"01/12/2025, 6:00:00 AM",P1007,Tab. F/S,25000,0,0,
